# BEGIN PLOT
Legend=1
LogY=1
Title=Cross section as a function of $\eta^{\mathrm{jet1}}$ for $25 \leq \mathrm{M}_{3j} \leq 50$ GeV
XLabel=$\eta^{\mathrm{jet1}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta^{\mathrm{jet1}}$(pb)
DrawOnly=/ZEUS_2007_I756660/d14-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d14-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d14-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPPWR.yoda/ZEUS_2007_I756660/d14-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPLOG.yoda/ZEUS_2007_I756660/d14-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/NOMPI.yoda/ZEUS_2007_I756660/d14-x01-y01
LegendOnly=/ZEUS_2007_I756660/d14-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d14-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCLOG.yoda/ZEUS_2007_I756660/d14-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPPWR.yoda/ZEUS_2007_I756660/d14-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LEPLOG.yoda/ZEUS_2007_I756660/d14-x01-y01 //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/NOMPI.yoda/ZEUS_2007_I756660/d14-x01-y01
RatioPlot=1
RatioPlotReference=/ZEUS_2007_I756660/d14-x01-y01
# END PLOT

# BEGIN HISTO1D /ZEUS_2007_I756660/d14-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ZEUS_2007_I756660/d14-x01-y01
PolyMarker=*
Title=ZEUS
# xlow	 xhigh	 val	 errminus	 errplus
-1.686000e+00	-1.371000e+00	3.300000e+00	1.816590e+00	1.539480e+00
-1.371000e+00	-1.057000e+00	3.600000e+01	1.041057e+01	8.438602e+00
-1.057000e+00	-7.430000e-01	1.230000e+02	2.202272e+01	2.022375e+01
-7.430000e-01	-4.290000e-01	2.560000e+02	4.170132e+01	4.438468e+01
-4.290000e-01	-1.140000e-01	3.940000e+02	6.087693e+01	6.426508e+01
-1.140000e-01	2.000000e-01	5.060000e+02	8.115417e+01	8.429709e+01
2.000000e-01	5.140000e-01	6.000000e+02	9.205976e+01	9.420191e+01
5.140000e-01	8.290000e-01	6.530000e+02	9.354143e+01	9.862048e+01
8.290000e-01	1.143000e+00	6.310000e+02	9.056489e+01	9.336488e+01
1.143000e+00	1.457000e+00	5.560000e+02	9.254188e+01	9.575490e+01
1.457000e+00	1.771000e+00	5.730000e+02	9.869650e+01	1.029806e+02
1.771000e+00	2.086000e+00	6.970000e+02	1.330451e+02	1.416121e+02
2.086000e+00	2.400000e+00	7.900000e+02	2.147696e+02	2.147696e+02
# END HISTO1D


# BEGIN HISTO1D //home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d14-x01-y01
LineColor=red
LineStyle=solid
Path=//home/bpattengale/pythia/pythia8310/examples/34j-NEW3-test/10-million/LHCPWR.yoda/ZEUS_2007_I756660/d14-x01-y01
ScaledBy=6.78500016577271853e-02
Title=LHC/POWER
# xlow	 xhigh	 val	 errminus	 errplus
-1.686000e+00	-1.371000e+00	5.299790e+00	1.142064e+00	1.142064e+00
-1.371000e+00	-1.057000e+00	4.194943e+01	3.268352e+00	3.268352e+00
-1.057000e+00	-7.430000e-01	1.685060e+02	6.432704e+00	6.432704e+00
-7.430000e-01	-4.290000e-01	4.467522e+02	1.063784e+01	1.063784e+01
-4.290000e-01	-1.140000e-01	8.078673e+02	1.415975e+01	1.415975e+01
-1.140000e-01	2.000000e-01	1.291095e+03	1.795720e+01	1.795720e+01
2.000000e-01	5.140000e-01	1.734900e+03	2.087227e+01	2.087227e+01
